vulnerability_variable,short_name,description,Woman.and.her.past.experiences,Health.and.mental.models,Natural.and.human.systems,Household.relationships,Household.economics.and.living.conditions,Social.support
micronutrient.12m,Micronutrient 12 Mo,Child given micronutrients in previous 12 months,,1.0,,,,
mobile.financial,Mobile Financial,Use mobile telephone for financial transactions,,,,,1.0,
money,Med Barrier: Money,cost to go to the doctor is a big problem,,1.0,,,,
months.cohabbirth,Months Cohab Birth,,,,,1.0,,
months.cohabbirth.cat,Months Cohab Birth Cat,,,,,1.0,,
motor,HH Moto,whether anyone in the HH owns a mortorbike/scooter,,,,,1.0,
muslim,Muslim,Respondent is of Muslim faith,1.0,,,,,
n.sex.excl.partner.12m,N Sex Partners Excl Spouse 12mo,"Number of sex partners, excluding partner, in the last 12 months",1.0,,,,,
n.sex.incl.partner.12m,N Sex Partners Incl Spouse 12mo,"Number of sex partners, including partner, in the last 12 months",1.0,,,,,
negotiate.preg,Negotiate Preg,negitiation power if not wanting a child,1.0,,,,,
newsp.yn,Newspaper Y/N,Reads newspaper,,,,,1.0,
no.fp.access,No FP Reason: Access,"Reason for not using FP is lack of access (lack of access, too far or costs too much)",,1.0,,,,
no.fp.noneed,No FP Reason: Not Needed,Reason for not using FP is not needed,,1.0,,,,
no.fp.oppose,No FP Reason: Partner Oppose,Reason for not using FP is partner's opposition,,1.0,,,,
no.fp.reason,No FP Reason,Reason for not using family planning,,1.0,,,,
no.fp.supply,No FP Reason: Supply,Reason for not using FP is supply,,1.0,,,,
no.latrine,No Latrine,Toilet facility does not exist,,,1.0,,,
no.partner,Currently Partnered,Respondent currently has a partner,,,,1.0,,
num.15up,Num Over 15,Number of children that are 15 years or older,,,,1.0,,
num.15up.4plus,Num Over 15 4plus,Number of children over 15 years of age (binary 4+),,,,1.0,,
num.15up.cat,HH Members 15+ Category,Categorical variable for number household members that are 15 or older,,,,1.0,,
num.child.4plus,Num Child 4plus,whether has 4 or more children,,,,1.0,,
num.child.alive,Num Child Alive,Number of children that are alive,,,,1.0,,
num.child.alive.cat,Num Child Alive Cat,Number of children alive category,,,,1.0,,
num.child.die,Num Child Dead,Number of children that have died,,,,1.0,,
num.child.die.cat,Num Child Dead Cat,Number of children that have died category,,,,1.0,,
num.child.die.moh.yn,Num Child Dead Cat Y/N,Binary variable for number of children that have died,,,,1.0,,
num.kids.house,Num Kids House,Number of biological kids living in the home,,,,1.0,,
num.kids.house.4plus,Num Kids House 4plus,Number of biological kids living in the home (binary 4+),,,,1.0,,
num.kids.house.cat,Num Kids House Cat,Categorical variable for number of biological kids living in the household,,,,1.0,,
num.preg,Number of pregnancies,Total number of children ever born and terminated pregnancies (capped at 2 pregnancies),,,,1.0,,
num.preg.cat,Number of Pregnancies Category,Categorical variable for number of pregnancies,1.0,,,,,
num.preg.moh.cat,Number Preg MoH Category,"Categorical variable for number of pregnancies, defined by MoH",1.0,,,,,
num.solidfood,Num Solidfood,Frequency that child is given solid food,,1.0,,,,
num.under15,Num Under 15,Number of children that are under 15 years of age,,,,1.0,,
num.under15.3plus,Num Under 15 3plus,Number of household members under the age of 15 (binary 3+),,,,1.0,,
num.under15.cat,HH Members U15 Category,Categorical variable for number household members that under 15 years of age,,,,1.0,,
num.under5,Num Under 5,Number of children that are under 5 years of age,,,,1.0,,
num.under5.2plus,Num Under 5 2plus,Number of children under 5 years of age (binary 2+),,,,1.0,,
num.under5.cat,HH Members U5 Category,Categorical variable for number household members that under 5 years of age,,,,1.0,,
occ.type,Occupation Type,"Categorical variable for who respondent works for (family, self, someon else)",,,,1.0,,
occupation,Occupation,Respondent occupation,,,,1.0,,
occupation.cat,Occupation Category,Categorical variable for respondent's occupation,,,,1.0,,
part.working,Partner Working Now,Partner currently working,,,,1.0,,
part.working1,Partner Working Now,Partner currently working,,,,1.0,,
part.workingnow.yn,Partner Working Now Y/N,Binary variable for husband/partner employed currently,,,,1.0,,
partner.absent,Partner Absent,Partner does not currently reside at home,,,,1.0,,
partner.absent.yn,Partner Absent Y/N,Binary variable for partner is absent from household,,,,1.0,,
partner.age,Partner Age Category,Quantitative variable for age of partner,,,,1.0,,
partner.age.cat,Partner Age Category,Categorical variable for partner's age,,,,1.0,,
partner.anyed.yn,Partner Any Education Y/N,Categorical variable for education level of partner,,,,1.0,,
partner.desire.child,Partner Desire Child,Categorical variable for children desired by husband/partner,,,,1.0,,
partner.ed.level,Partner Education Level,Partner education level,,,,1.0,,
partner.ed.cat,Partner Education Category,Categorical variable for partner education level,,,,1.0,,
partner.ed.level.cat1,Partner Education Level Cat1,Categorical variable for partner education level,,,,1.0,,
partner.ed.level.cat2,Partner Education Level Cat2,"Categorical variable for partner's education level, defined by MoH",,,,1.0,,
partner.occupation,Partner Occupation,Husband/partner's occupation,,,,1.0,,
partner.occupation.cat,Partner Occupation Category,Categorical variable for partner/husband's education,,,,1.0,,
partner.yn,Partner Y/N,whether has partner,,,,1.0,,
percept.child.sick,Perception Child Sick,understanding of why a mom does not send her sick kid to hospital earlier,,1.0,,,,
percept.srh,Perception SRH,whether she has farily good understanding and knowledge of SRH,,1.0,,,,
permit,Med Barrier: Permission,getting permission to go to the doctor is a big problem,,1.0,,,,
piped,Piped Water,Household water is piped,,,1.0,,,
pl.cat,Pl Cat,,,,,,,
polygamy,Polygamy,Type of marriage among married women,,,,1.0,,
preg.4plus,Pregnancies 4+,Respondent has had four or more pregnancies,1.0,,,,,
prepare.preg,Preg  Knowledge,whether she knew how women become pregnant before her first pregnancy,,1.0,,,,
prepare.sex,Prepared Sex,whether the first sex happened at the right time when she wanted it to happen,1.0,,,,,
prev.pship,Previous Partnership Y/N,Woman had previous partnership,1.0,,,,,
pship.cat,Partnership Cat,Categorical variable for partnership status,1.0,,,,,
pship.duration,Partnership Duration,Duration of current partnership,1.0,,,,,
pship.status,Partnership Status,Respondent's current partnership status,1.0,,,,,
rad.yn,Rad Y/N,,,,,,,
recent.move.yn,Recent Move Y/N,whether the HH recently moved to where they are,,1.0,,,,
religion,Religion,Categorical variable for religion,1.0,,,,,
religionrecode.cat,Religion Cat,Categorical variable for respondent's religion,1.0,,,,,
save.grp,Savings Group Y/N,whether there is woman's saving group in their communities,,,,,1.0,
saving.group,Savings Group Woman,whether she is in a woman's saving group in her community,,,,,1.0,
sex.gifts.12m,Sex Gifts Last 12m,Gifts for sex given in the previous 12 months,1.0,,,,,
shared.toilet,Shared Toilet,Household has a shared toilet,,,1.0,,,
single.mom,Single Mom Raised,whether raised by a single mom,1.0,,,,,
slum.sum,Slum Sum,"Sum of: floor, water unprotected, latrine (not improved), and living (more than 3 people sleeping per room)",,,1.0,,,
slum1,Slum 1,Slum categorical variable,,,1.0,,,
slum2,Slum 2,Slum categorical variable,,,1.0,,,
smartcell.hh,HH Smartphone,whether anyone in HH owns smart phone,,,,,1.0,
source.fp.gov,Source FP Gov,Source of family planning information is government,,1.0,,,,
strata,Strata,"Stratification of the segmentation analysis (e.g., separate urban and rural analyses)",,,,,,
survey,Survey,Name of survey used in the segmentation analysis,,,,,,
toilet.facility,Toilet Facility,Location of toilet,,,1.0,,,
toilet.flush,Toilet Flush,whether it is a flush toilet,,,1.0,,,
toilet.loc,Toilet Location,Location of toilet,,,1.0,,,
toilet.loc.cat,Toilet Location Cat,location of the toilet,,,1.0,,,
toilet.type,Toilet Type,toilet type,,,1.0,,,
total.sex.partners,Total Sex Partners,Woman's total number of sexual partners,1.0,,,,,
transpo.index,Transportation Index,sum up the above 4 indicators to form an index,,,1.0,,,
transpo.index.yn,Transportation Index Y/N,whether the HH owns any of the 4 types of transportation means,,,1.0,,,
travtime.fac,Travel Time Facility,time required for her to go from home to the nearest doctor that she goes to,,,1.0,,,
travtime.fac.2hrplus,Travel Time Facility 2hr Plus,whether it is 2 hours or more,,,1.0,,,
travtime.fac.30less,Travel Time Facility 30min Less,whether it is 30 minutes or less,,,1.0,,,
trust.doctor,Trust Doctor,whether she trusts a lot the doctor she sees when she is sick,,1.0,,,,
tv.yn,TV Y/N,Household watches TV,,,,,1.0,
violence_other,Violence Other,,,,,1.0,,
w.bank,Woman Bank Account,whether woman has either own or joined bank account,,,,,1.0,
w.fin.account,Woman Financial Account,sum up the above 2,,,,,1.0,
w.fin.account.yn,Woman Financial Account Y/N,whether woman has a financial account (either bank of mobile bank),,,,,1.0,
w.mpesa,Woman Mpesa,whether women has either own or joined a mobile account,,,,,1.0,
wall,HH Wall,Household has a solid wall,,,1.0,,,
wall.cat,HH Wall Cat,wall materials categorized,,,1.0,,,
wall.finish,HH Wall Finish,whether it uses finished materials,,,1.0,,,
wash.hand,HH Hand Wash,"whether hthe HH has proper handwashing facility (using the same critera as Bihar: a - have a facility, b - piped water available, c - soap & water)",,,1.0,,,
water,HH Water,Binary variable for unprotected water source,,,1.0,,,
water.pur,HH Water Purify,whether they do anything to water before drinking it,,,1.0,,,
wd.family,Woman's Decision Family,whether woman makes the main or equal decision,,,,1.0,,
wd.fp,Woman's Decision FP,FP is woman's decision,,,,1.0,,
wd.fp.cat,Woman's Decision FP Cat,Woman's decision FP category,,,,1.0,,
wd.hlth,Woman's Decision Respondent's Health,Woman's decision respondent's healthcare,,,,1.0,,
wd.hlth.cat,Woman's Decision Respondent's Health Cat,Woman's decision respondent's healthcare category,,,,1.0,,
wd.index,Woman's Decision Making Index,"Quantitative variable for the index of decision making, where 0 is the most vulnerable (0 = Woman makes no decisions)",,,,1.0,,
wd.index.1less,Woman's Decision Making Index is 1 or 0,,,,,1.0,,
wd.index.none,Woman Makes No decision,Binary variable for women's decision making index (1 = Woman makes no decision),,,,1.0,,
wd.kidhlt,Woman's Decision: Child Health,whether makes the main or equal decision,,,,1.0,,
wd.lrgpur,Woman's Decision Large Purchases,Woman's Decision Large Purchases,,,,1.0,,
wd.lrgpur.cat,Woman's Decision Large Purchases Cat,Woman's Decision Large Purchases Cat,,,,1.0,,
wd.money,Woman's Decision Husband's Money,Woman's Decision Husband's Money,,,,1.0,,
wd.money.cat,Woman's Decision Husband's Money Cat,Woman's Decision Husband's Money Cat,,,,1.0,,
wd.nacnt,Woman's Decision NA Cnt,Woman's Decision NA Cnt,,,,1.0,,
wd.ownincome,Woman's Decision Own Income,Woman's Decision Own Income,,,,1.0,,
wd.ownincome.cat,Woman's Decision Own Income Cat,Woman's Decision Own Income Cat,,,,1.0,,
wd.sum,Woman's Decision Sum,Woman's Decision Sum,,,,1.0,,
wd.visit,Woman's Decision Relatives Visit,Woman's Decision Relatives Visit,,,,1.0,,
wd.visit.cat,Woman's Decision Relatives Visit Cat,Woman's Decision Relatives Visit Cat,,,,1.0,,
wealth.index,Wealth Index,Wealth Index,,,,,1.0,
wealth.index.poor,Wealth Index Poor,Wealth Index Poor,,,,,1.0,
wealth.index.ur,Wealth Index U/R,Wealth index for urban/rural,,,,,1.0,
wealth.index.ur.ord,Wealth Index U/R Ord,Ordinal variable for wealth index urban/rural,,,,,1.0,
wealth.sum,Wealth Sum Index,,,,,,1.0,
wife.order,Wife Order,Wife order among women in polygamous union,,,,1.0,,
woman.earn,Woman Own Earning,whether woman has her own earning,,,,,1.0,
woman.earn.season,Woman Earning Frequency,frequency of her work type,,,,,1.0,
work.seasonal,Work Seasonal,Respondent's work is seasonal,,,,,1.0,
work.type,Work Type,occupation type,,,,,1.0,
work.type.cat,Work Type Cat,occupation type categorized,,,,,1.0,
work.type.prof,Work Type Prof,occupation type categorized around professional job,,,,,1.0,
working,Working Now,Categorical variable to indicate work status,,,,,1.0,
workingnow.yn,Working Now Y/N,Respondent currently working,,,,,1.0,
yrs.curr.pship,Years Current Partnership,Duration of current partnership,1.0,,,,,
yrs.curr.pship.cat,Years Current Partnership Category,Categorical variable for years in current partnership,1.0,,,,,
conflict_incidents_26plus,Conflict Incidents 26 Plus,,,,,1.0,,
pastoralnoagro.yn,Pastoral No Agro Y/N,,,,1.0,,,
hh.members,HH Members,Number of household members,,,,1.0,,
num.biochild.house,Num Bio Children House,Number biological children in household,,,,1.0,,
num.biochild.house.cat,Num Bio Children House Cat,Number biological children in household category,,,,1.0,,
orthodox,Religion: Orthodox,Respondent is of Orthodox faith,1.0,,,,,
partner.working,Partner Working,Partner currently working,,,,,1.0,
partner.working.yn,Partner Working Y/N,Partner currently working,,,,,1.0,
partner.workingnow.yn,Partner Working Now Y/N,Partner currently working,,,,,1.0,
wd.index.cat,Woman Decision Index Cat,Categorical variable for woman decision making index,,,,1.0,,
working.yn,Respondent Working Y/N,Respondent currently working,,,,,1.0,
